Num_Acc;luminosite
200500000853;3
200500000854;3
200500000855;1
200500000856;1
200500000857;1
200500000858;1
200500000859;1
200500000860;2
200500000861;2
200500000862;3
200500000863;1
200500000864;5
200500000865;3
200500000866;1
200500000867;5
200500000868;1
200500000869;5
200500000870;1
200500000871;3
200500000872;1
200500000873;1
200500000874;1
200500000875;2
200500000876;1
200500000877;3
200500000878;1
200500000879;1
200500000880;1
200500000881;5
200500000882;5
200500000883;1
200500000884;1
200500000885;1
200500000886;1
200500000887;3
200500000888;1
200500000889;1
200500000890;1
200500000891;3
200500000892;1
200500000893;1
200500000894;1
200500000895;1
200500000896;1
200500000897;1
200500000898;1
200500000899;1
200500000900;3
200500000901;1
200500000902;3
200500000903;5
200500000904;1
200500000905;1
200500000906;1
200500000907;2
200500000908;1
200500000909;3
200500000910;1
200500000911;3
200500000912;5
200500000913;1
200500000914;3
200500000915;3
200500000916;3
200500000917;1
200500000918;1
200500000919;5
200500000920;1
200500000921;1
200500000922;1
200500000923;1
200500000924;1
200500000925;1
200500000926;1
200500000927;1
200500000928;1
200500000929;3
200500000930;1
200500000931;1
200500000932;3
200500000933;1
200500000934;2
200500000935;1
200500000936;1
200500000937;4
200500000938;1
200500000939;3
200500000940;1
200500000941;1
200500000942;1
200500000943;1
200500000944;2
200500000945;1
200500000946;3
200500000947;3
200500000948;3
200500000949;1
200500000950;5
200500000951;2
200500000952;1
200500000953;1
200500000954;1
200500000955;1
200500000956;3
200500000957;5
200500000958;3
200500000959;3
200500000960;2
200500000961;3
200500000962;1
200500000963;3
200500000964;1
200500000965;1
200500000966;1
200500000967;3
200500000968;5
200500000969;3
200500000970;5
200500000971;1
200500000972;3
200500000973;1
200500000974;3
200500000975;1
200500000976;5
200500000977;3
200500000978;1
200500000979;5
200500000980;1
200500000981;2
200500000982;1
200500000983;1
200500000984;3
200500000985;1
200500000986;3
200500000987;3
200500000988;5
200500000989;1
200500000990;5
200500000991;1
200500000992;3
200500000993;5
200500000994;1
200500000995;1
200500000996;1
200500000997;3
200500000998;1
200500000999;1
200500001000;1
200500001001;1
200500001002;1
200500001003;1
200500001004;1
200500001005;5
200500001006;1
200500001007;1
200500001008;3
200500001009;1
200500001010;1
200500001011;1
200500001012;1
200500001013;1
200500001014;1
200500001015;5
200500001016;1
200500001017;1
200500001018;1
200500001019;1
200500001020;1
200500001021;1
200500001022;1
200500001023;2
200500001024;1
200500001025;1
200500001026;1
200500001027;2
200500001028;1
200500001029;1
200500001030;2
200500001031;3
200500001032;1
200500001033;1
200500001034;1
200500001035;1
200500001036;5
200500001037;1
200500001038;1
200500001039;3
200500001040;3
200500001041;2
200500001042;5
200500001043;5
200500001044;1
200500001045;2
200500001046;1
200500001047;3
200500001048;1
200500001049;2
200500001050;5
200500001051;1
200500001052;1
200500001053;3
200500001054;3
200500001055;3
200500001056;5
200500001057;1
200500001058;1
200500001059;3
200500001060;1
200500001061;2
200500001062;5
200500001063;1
200500001064;3
200500001065;2
200500001066;1
200500001067;1
200500001068;1
200500001069;5
200500001070;3
200500001071;3
200500001072;3
200500001073;1
200500001074;5
200500001075;2
200500001076;1
200500001077;5
200500001078;2
200500001079;1
200500001080;1
200500001081;2
200500001082;3
200500001083;3
200500001084;3
200500001085;3
200500001086;5
200500001087;3
200500001088;3
200500001089;1
200500001090;5
200500001091;3
200500001092;3
200500001093;5
200500001094;1
200500001095;1
200500001096;1
200500001097;5
